autor,campus,grau,degree_cent,betweenness,closeness,eigenvector,pagerank
T.L. Oliveira,CÂMPUS ITUMBIARA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
R. V. DE HOLANDA,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0016542597187758478,4.174738324490988e-25,0.0004922963582712364
DIEGO LEONARDO PEREIRA VAZ,CÂMPUS APARECIDA DE GOIÂNIA,1,0.0012406947890818859,0.0,0.0025847808105872623,3.183832308227334e-26,0.0006530991361326471
ELISA PIMENTEL BARBOSA,CÂMPUS INHUMAS,2,0.0024813895781637717,3.0824715256692815e-06,0.0024813895781637717,1.1106417157962172e-29,0.0018136111454467932
Mad'Ana Desirée Ribeiro de Castro,REITORIA,1,0.0012406947890818859,0.0,0.0016542597187758478,7.853422887083195e-30,0.0009519304867561574
Giovani Vilmar Comerlatto,CÂMPUS APARECIDA DE GOIÂNIA,1,0.0012406947890818859,0.0,0.0016542597187758478,7.853422887083195e-30,0.0009519304867561574
MARCOS VINICIUS DA COSTA MEIRELES,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
Marcos Alfonso Rucinski Spiess,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
MARY LOPES REIS,CÂMPUS GOIÂNIA OESTE,1,0.0012406947890818859,0.0,0.10116162378496224,2.903199122872185e-09,0.000261249017900899
ANDREIA FARINA DE FARIA,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
VINICIUS DUARTE FERREIRA,REITORIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
PAULO FRANCINETE SILVA JUNIOR,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
E. F. Silva,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
IZAC VIEIRA CHAVES,CÂMPUS SENADOR CANEDO,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
ALINE REZENDE BELO,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
THIAGO EDUARDO PEREIRA ALVES,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.0071464019851116625,5.52533117162157e-17,0.00033823510122271347
MARINA CONCEICAO DOS SANTOS MOREIRA,CÂMPUS FORMOSA,2,0.0024813895781637717,3.0824715256692815e-06,0.0024813895781637717,1.1106417157962172e-29,0.0018136111454467932
E. F. da Silva,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0016542597187758478,7.853422887083195e-30,0.0009519304867561574
C.C. Silva,CÂMPUS JATAÍ,1,0.0012406947890818859,0.0,0.0016542597187758478,7.853422887083195e-30,0.0009519304867561574
LUCAS DE ALMEIDA RIBEIRO,CÂMPUS LUZIÂNIA,1,0.0012406947890818859,0.0,0.14034746463669373,1.6486885193710406e-06,0.00025941002635043015
ROSANGELA MEDEIROS DA LUZ,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.06463880628575648,3.420768575369661e-19,0.0006825632941029171
APOLO DE SOUZA SA,CÂMPUS GOIÂNIA,3,0.0037220843672456576,0.001926207669476729,0.11262794555146405,1.1917711453361345e-11,0.0009620131938750526
GILMAR VIEIRA FREITAS,CÂMPUS LUZIÂNIA,1,0.0012406947890818859,0.0,0.07101376091676194,2.444388579961195e-17,0.0004671279158986541
CICERO BATISTA DOS SANTOS LIMA,CÂMPUS LUZIÂNIA,4,0.004962779156327543,0.0,0.07894022241333001,3.532698758009022e-15,0.001245073768446037
Giselle Alves Dias De Sousa,CÂMPUS LUZIÂNIA,4,0.004962779156327543,0.0,0.07894022241333001,3.532698758009022e-15,0.001245073768446037
SUZANA LOPES DE ALBUQUERQUE,CÂMPUS GOIÂNIA OESTE,5,0.006203473945409429,6.160539520587606e-05,0.13257639087762393,3.854304768575869e-09,0.0019640770674015963
MARIA CAROLINA TERRA HEBERLEIN,CÂMPUS GOIÂNIA,4,0.004962779156327543,5.137452542782135e-06,0.13244385866415082,3.609817852461419e-09,0.0009719800157038411
MICHELY GOMES AVELAR,CÂMPUS CIDADE DE GOIÁS,1,0.0012406947890818859,0.0,0.13877933654019434,1.238781629439001e-07,0.00036244688381555275
FABIO FRANCISCO DA SILVA,CÂMPUS VALPARAÍSO DE GOIÁS,2,0.0024813895781637717,0.0006203938762544256,0.14044665012406948,2.107879695726971e-06,0.0003261204789476791
ADRIA ASSUNCAO SANTOS DE PAULA,CÂMPUS GOIÂNIA OESTE,2,0.0024813895781637717,7.706178814173204e-05,0.13074474337207784,3.4949807886828433e-07,0.00032348837853487904
